PilotID,RouteID,RouteName,FlightID,flightN,longitude,latitude,dest_order_id,AirportCode,flightweight
"4","5320","3B3-KORH-Unkn","5319","5319.100000","-71.792861","42.425917","1","3B3","0",
"4","5320","3B3-KORH-Unkn","5319","5319.100000","-71.849591","42.466303","2","Unkn Dest","1",
"4","5320","3B3-KORH-Unkn","5320","5320.100000","-71.792861","42.425917","1","3B3","0",
"4","5320","3B3-KORH-Unkn","5320","5320.100000","-71.866581","42.266089","2","KORH","1",
"4","5348","3B3-KGDM","5348","5348.100000","-71.792861","42.425917","1","3B3","0",
"4","5348","3B3-KGDM","5348","5348.100000","-72.015492","42.548429","2","KGDM","1",
"4","5565","3B3-KGDM","5565","5565.100000","-71.792861","42.425917","1","3B3","0",
"4","5565","3B3-KGDM","5565","5565.100000","-72.015773","42.549103","2","KGDM","1",
"4","5585","3B3-Unkn","5585","5585.100000","-71.792861","42.425917","1","3B3","0",
"4","5585","3B3-Unkn","5585","5585.100000","-71.789707","42.433453","2","Unkn Dest","1",
"4","5587","3B3-KFIT","5587","5587.100000","-71.792861","42.425917","1","3B3","0",
"4","5587","3B3-KFIT","5587","5587.100000","-71.760947","42.555086","2","KFIT","1",
"4","5588","6B6-KFIT","5588","5588.100000","-71.792861","42.425917","1","3B3","0",
"4","5588","6B6-KFIT","5588","5588.100000","-71.518001","42.462849","2","6B6","1",
"4","5591","3B3-KCQX-KEWB-KHYA","5591","5591.100000","-71.792861","42.425917","1","3B3","0",
"4","5591","3B3-KCQX-KEWB-KHYA","5591","5591.100000","-70.960915","41.678512","2","KEWB","1",
"4","5591","3B3-KCQX-KEWB-KHYA","5592","5592.100000","-71.792861","42.425917","1","3B3","0",
"4","5591","3B3-KCQX-KEWB-KHYA","5592","5592.100000","-70.270038","41.672613","2","KHYA","1",
"4","5591","3B3-KCQX-KEWB-KHYA","5593","5593.100000","-71.792861","42.425917","1","3B3","0",
"4","5591","3B3-KCQX-KEWB-KHYA","5593","5593.100000","-69.989894","41.688129","2","KCQX","1",
"4","5622","3B3-KEEN-KGDM","5622","5622.100000","-71.792861","42.425917","1","3B3","0",
"4","5622","3B3-KEEN-KGDM","5622","5622.100000","-72.015002","42.547052","2","KGDM","1",
